ID,Gender,Age,Resident,Nature_Relatedness_experience1,Nature_Relatedness_self1,Nature_Relatedness_self2,Nature_Relatedness_experience2,Nature_Relatedness_self3,Nature_Relatedness_self4,PEBS_Conservation1,PEBS_Conservation2,PEBS_Conservation3,PEBS_Conservation4,PEBS_Conservation5,PEBS_Conservation6,PEBS_Conservation7,PEBS_Environmental_citizenship1,PEBS_Environmental_citizenship2,PEBS_Environmental_citizenship3,PEBS_Environmental_citizenship4,PEBS_Environmental_citizenship5,PEBS_Environmental_citizenship6,PEBS_Food1,PEBS_Food2,PEBS_Food3,PEBS_Tmnsporation1,PEBS_Tmnsporation2,PEBS_Tmnsporation3,HEAS_Affective_symptoms1,HEAS_Affective_symptoms2,HEAS_Affective_symptoms3,HEAS_Affective_symptoms4,HEAS_Rumination1,HEAS_Rumination2,HEAS_Rumination3,HEAS_Behavioural_symptoms1,HEAS_Behavioural_symptoms2,HEAS_Behavioural_symptoms3,HEAS_Anxiety_about_personal_impact1,HEAS_Anxiety_about_personal_impact2,HEAS_Anxiety_about_personal_impact3,Mental_Health_Continuum_EWB1,Mental_Health_Continuum_EWB2,Mental_Health_Continuum_EWB3,Mental_Health_Continuum_SWB1,Mental_Health_Continuum_SWB2,Mental_Health_Continuum_SWB3,Mental_Health_Continuum_SWB4,Mental_Health_Continuum_SWB5,Mental_Health_Continuum_PWB1,Mental_Health_Continuum_PWB2,Mental_Health_Continuum_PWB3,Mental_Health_Continuum_PWB4,Mental_Health_Continuum_PWB5,Mental_Health_Continuum_PWB6
1309,2,19,1,2,4,4,3,3,2,5,5,4,5,5,5,5,1,5,3,4,5,3,5,5,5,3,5,5,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,1,4,3,4,1,3,3,3,3,3,3
383,2,20,1,1,3,5,3,5,5,5,4,5,5,4,4,3,1,1,4,3,1,1,1,5,5,3,5,3,2,2,1,2,2,2,2,1,2,3,2,2,2,3,3,3,1,5,4,4,4,4,3,4,3,2,3
1827,2,20,1,1,5,5,4,5,5,5,4,4,5,4,3,3,1,1,4,3,5,1,5,5,5,5,5,5,2,2,2,2,2,2,2,2,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035,1,22,2,3,2,3,4,4,4,5,3,2,5,5,5,3,1,1,4,1,5,3,5,1,5,5,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1,1,2,1,5,5,1,4,4,4,4,5
1904,2,21,1,4,3,4,3,4,4,5,5,5,5,3,5,5,1,1,3,2,5,3,1,5,1,3,5,5,2,1,1,2,1,2,2,1,1,3,2,2,2,3,2,1,0,1,0,1,0,0,0,1,0,0,1
381,1,19,1,1,5,5,5,5,5,5,5,4,4,4,3,5,1,1,3,2,5,3,1,5,5,5,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,4,4,4,3,3,5,3,5,5,5,5,3,5,4
1962,2,20,1,4,4,4,4,4,4,5,5,5,5,4,4,5,1,1,3,4,5,3,1,5,5,5,5,5,4,3,3,3,3,2,3,3,2,4,3,3,3,4,4,3,3,4,3,4,4,4,4,4,3,3,3
3193,2,22,1,1,4,4,4,4,5,5,5,5,5,5,5,5,1,5,3,4,5,3,5,5,5,1,5,5,3,3,2,2,2,2,2,2,1,2,2,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4
1919,2,24,2,3,3,3,3,3,3,3,2,4,4,3,3,5,1,5,3,3,1,1,1,5,5,3,5,3,3,3,2,2,2,1,1,2,3,3,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1
2537,2,21,1,1,3,3,2,3,1,5,5,3,5,2,3,5,1,1,1,1,1,1,1,5,5,3,5,3,3,2,1,1,1,1,1,3,1,3,1,1,1,5,5,5,0,0,0,0,0,4,4,4,0,3,1
1623,2,21,1,2,2,3,2,3,4,4,3,5,4,3,4,5,1,1,2,2,1,1,5,5,5,5,3,5,2,2,1,3,2,2,2,1,1,1,2,2,1,3,2,2,1,4,1,2,2,4,3,2,1,2,2
489,1,20,1,1,3,5,3,4,5,5,4,3,4,3,2,3,1,1,3,3,5,1,1,5,1,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,4,4,2,2,2,3,2,2,2,4,4,4,4
1712,1,20,1,3,4,4,4,4,4,5,4,2,5,5,1,3,1,1,3,3,5,1,5,5,5,3,3,3,2,3,2,2,2,2,3,3,2,2,2,2,2,4,4,4,1,5,3,4,3,3,3,3,3,3,3
2529,2,20,2,1,2,3,2,3,4,4,4,5,5,5,4,5,1,1,3,2,5,4,5,5,5,3,5,5,2,1,1,1,1,1,1,4,2,3,1,1,1,3,1,2,1,0,1,0,2,1,2,2,1,1,3
488,2,20,1,2,4,4,5,5,5,5,4,4,4,4,4,5,1,5,4,3,5,2,1,5,5,5,5,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,4,4,3,4,4,3,3,4,3,4,4,4,4
902,2,23,1,2,1,5,5,5,5,4,4,3,5,5,5,3,1,1,2,3,5,4,5,1,1,3,5,5,3,2,1,1,2,1,1,2,1,3,1,1,1,5,5,4,1,4,2,5,5,5,5,5,2,2,5
846,1,19,1,2,3,3,5,4,1,5,5,2,5,3,5,3,1,1,2,3,5,1,5,1,5,1,5,5,2,2,1,1,1,1,1,3,3,3,1,1,1,3,1,3,3,4,3,4,2,1,1,4,1,3,1
1748,2,19,1,3,5,5,3,5,5,5,4,5,5,3,4,5,1,1,3,2,5,2,5,5,1,5,3,3,1,1,1,2,1,1,1,1,1,2,2,1,1,4,4,3,1,5,0,1,3,2,1,2,1,1,2
2231,2,19,1,1,4,3,3,3,4,5,4,1,5,3,5,5,1,1,3,2,5,3,5,5,5,3,5,5,4,4,3,4,2,2,2,1,3,3,2,2,2,4,4,4,2,1,0,0,0,1,1,1,1,1,3
487,2,21,1,3,4,4,5,4,5,4,4,5,4,4,4,5,1,5,3,3,1,4,5,5,5,3,5,5,3,3,2,2,2,2,2,2,2,3,3,2,2,4,4,3,1,1,2,3,4,4,4,3,3,3,4
2455,2,25,1,3,4,3,4,4,5,4,4,5,5,3,4,3,1,1,3,3,5,1,5,5,5,5,3,5,3,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,2,1,3,3,1,2,3,2,3,3
2628,2,20,1,2,5,4,5,5,5,5,5,5,5,3,4,3,5,1,5,4,5,2,1,1,1,3,3,5,2,2,2,2,2,2,2,2,1,3,1,1,1,4,4,4,0,4,4,5,4,5,5,5,5,3,4
380,2,19,1,2,4,4,5,5,5,5,3,3,5,2,3,5,1,1,2,2,5,1,1,5,1,5,3,5,3,3,2,2,2,2,2,2,3,3,2,2,2,3,1,1,1,3,2,1,5,4,2,3,1,4,1
2382,2,25,1,1,5,5,5,5,5,4,4,5,5,4,3,3,1,1,3,3,5,3,1,5,5,3,3,5,2,2,1,1,3,2,3,1,4,3,2,2,2,4,4,4,3,2,5,5,3,3,4,5,5,5,5
2247,2,19,1,1,2,3,3,3,3,5,2,2,5,2,4,5,1,1,2,2,1,3,5,5,5,1,5,5,2,1,1,2,2,3,2,2,2,2,1,1,1,4,4,3,0,1,0,0,0,3,1,4,4,1,2
2069,1,19,2,4,4,5,5,4,3,5,4,5,5,3,5,5,1,5,3,3,1,3,5,5,1,3,5,5,3,2,2,2,1,1,3,2,2,1,3,3,2,3,3,3,2,4,1,2,1,4,3,4,2,2,2
663,2,19,1,1,3,3,3,3,3,5,4,4,4,3,4,3,1,1,3,3,5,3,5,5,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,2,3,4,2,4,2,2,2,2,3,2
384,1,23,1,3,3,3,3,3,3,4,3,3,4,3,2,3,1,1,3,2,1,1,5,5,5,3,5,3,2,2,1,1,1,1,1,3,3,4,2,2,2,1,1,1,0,1,2,2,5,2,2,2,2,2,2
3079,2,20,1,1,3,4,3,4,5,5,3,1,5,5,1,5,1,1,1,2,5,1,5,5,5,3,5,5,3,2,1,1,1,2,2,2,4,3,3,2,2,3,3,1,5,3,1,1,1,4,5,3,5,3,5
2170,1,20,1,2,2,3,2,3,3,3,3,3,3,2,3,5,1,1,3,3,5,2,5,1,1,1,5,3,2,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,5,4,4,4,4,3,3,3,3,4,3
1209,1,22,2,3,4,4,4,4,4,5,5,3,5,3,2,3,1,1,3,3,5,1,5,1,5,5,3,5,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,2,2,3,3,2,2,3,3
2038,2,19,2,2,4,2,1,2,3,4,3,2,5,3,2,3,1,1,2,2,5,1,5,5,5,3,3,5,1,1,1,1,1,2,1,3,2,2,2,2,1,4,4,4,3,4,2,5,5,4,2,3,2,2,2
3168,2,22,1,1,4,5,4,5,5,5,4,5,5,4,5,5,1,1,3,2,1,4,5,5,5,3,3,5,2,2,2,2,2,2,2,1,1,1,1,2,2,3,3,4,2,4,2,1,2,3,5,4,4,5,5
2671,2,22,1,2,4,5,5,5,5,5,5,5,5,4,4,1,1,5,3,2,5,4,5,5,5,5,3,5,3,2,1,1,1,1,1,1,3,1,1,2,1,1,3,3,1,2,2,4,2,2,4,4,4,4,3
1675,2,21,1,3,4,5,5,5,5,5,5,3,5,3,3,5,5,1,3,3,5,2,1,5,5,5,5,3,3,1,1,2,2,2,2,3,2,3,2,3,3,4,4,4,1,0,1,3,1,3,3,3,3,3,3
2982,2,24,1,2,4,4,4,4,5,5,3,5,5,4,5,5,1,1,2,3,5,2,5,5,5,3,5,5,3,2,1,2,2,2,2,2,2,3,1,1,1,2,2,2,1,3,3,3,2,3,4,4,2,3,3
1002,1,20,1,4,4,4,4,4,4,4,3,3,3,3,3,5,1,1,4,3,5,5,5,5,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,4,1,3,3,3,5,5,5,5,4
385,2,19,1,5,4,3,3,3,4,4,3,4,4,3,3,5,1,1,3,3,5,3,5,5,1,1,3,3,2,2,3,3,3,3,4,3,3,2,3,2,2,1,3,2,3,4,5,3,1,4,3,2,1,1,5
2977,2,23,1,1,4,4,5,5,4,5,5,3,5,2,2,5,1,1,3,3,5,3,5,5,5,3,5,3,3,3,1,2,2,2,2,1,1,1,1,2,2,3,2,1,1,0,0,1,1,3,3,4,3,2,1
2466,1,23,1,3,4,4,3,3,3,5,5,5,5,2,2,5,1,1,3,2,5,1,5,5,5,3,5,3,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,1,3,0,1,0,1,4,4,1,3,4
1558,2,21,1,3,4,4,4,4,4,4,4,4,4,3,3,5,1,1,3,2,1,3,1,1,1,5,3,5,2,2,2,2,1,1,1,2,1,2,1,1,1,3,3,3,1,3,3,3,3,2,2,3,2,2,2
3192,2,19,1,2,4,4,4,4,5,5,4,2,4,3,2,5,1,1,2,2,5,1,5,5,5,3,5,3,2,4,4,4,1,1,2,3,2,3,2,2,1,3,3,3,1,3,1,1,1,3,2,4,1,1,1
1687,2,23,1,1,4,4,4,4,5,5,4,5,5,3,2,5,1,1,2,2,5,4,5,5,5,3,3,3,3,1,2,2,1,1,1,2,4,3,2,2,2,3,3,3,1,1,4,4,4,2,3,3,3,3,4
2067,1,19,2,4,4,5,4,3,5,5,4,5,5,4,3,3,1,1,3,3,5,1,5,1,5,3,5,5,3,3,1,1,3,3,3,2,1,1,2,1,1,4,4,3,2,2,1,1,1,5,5,4,5,4,5
1064,2,22,1,1,4,3,4,5,4,5,5,5,5,5,2,5,1,1,2,2,5,1,1,5,1,3,3,5,2,1,1,2,2,1,1,3,3,4,2,2,2,3,1,1,3,1,1,2,1,3,1,1,1,1,2
2415,2,21,1,2,3,4,4,3,4,4,3,3,4,2,2,3,1,1,3,2,5,1,1,5,5,3,3,3,2,1,1,2,1,1,1,1,1,1,1,1,1,4,4,3,2,3,3,3,3,3,3,3,3,3,3
1557,2,22,1,2,2,3,2,3,5,5,5,4,5,3,4,5,1,1,3,4,1,2,5,5,5,5,5,5,2,2,2,2,2,2,2,1,4,3,3,2,2,4,4,4,2,4,3,5,4,5,4,4,4,4,4
491,2,20,1,1,3,4,4,5,5,5,4,5,4,5,4,3,1,5,3,3,5,3,5,1,5,5,5,3,3,2,1,1,2,2,2,1,1,1,1,2,2,4,4,4,3,4,4,4,4,4,4,4,5,5,4
2342,2,20,2,2,4,3,3,4,4,2,2,4,2,2,2,3,1,1,2,2,1,1,5,5,5,5,3,3,3,2,3,3,2,2,3,1,1,1,1,1,1,3,3,3,1,1,1,2,3,4,2,4,1,3,1
490,2,19,1,2,3,3,3,3,5,4,3,5,5,3,3,5,1,1,3,3,1,2,1,1,5,3,3,3,2,1,1,2,2,1,1,1,3,3,1,1,2,3,3,3,2,3,1,3,2,3,3,3,3,3,3
2285,1,18,2,2,4,4,3,3,3,5,4,2,5,2,3,3,1,1,3,3,5,3,5,5,5,1,5,5,3,1,1,1,2,2,2,2,3,1,2,2,2,3,4,3,0,3,4,3,1,4,5,2,4,4,4
2815,2,22,2,3,4,4,4,4,5,5,4,4,5,3,2,5,1,1,3,3,5,3,1,5,5,5,5,5,2,2,2,2,2,2,2,3,2,2,2,2,2,4,4,4,4,4,5,4,4,4,4,4,4,3,5
1269,2,20,1,2,3,3,2,3,3,3,3,3,3,3,3,1,1,1,2,3,5,2,5,1,1,5,5,5,3,2,2,2,2,2,2,2,3,4,3,3,3,3,3,3,3,2,3,4,2,4,2,3,3,3,3
1370,2,19,1,2,4,4,2,4,5,5,4,3,4,3,3,5,1,5,3,3,5,1,1,1,1,3,3,3,2,2,2,2,3,2,3,2,2,2,2,2,2,4,4,4,4,1,4,4,1,3,4,4,4,4,4
1416,2,19,1,4,4,4,4,4,4,5,4,4,4,4,4,5,1,1,3,3,5,3,5,5,1,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4
2157,2,19,1,4,4,4,4,4,4,5,3,5,5,2,1,3,1,1,3,2,5,3,1,5,5,3,3,5,2,2,1,1,2,1,1,2,2,2,2,1,1,1,1,3,1,1,1,3,1,2,2,2,1,1,1
3025,2,21,1,1,2,2,2,1,1,5,4,5,5,3,3,5,1,1,2,3,5,1,1,5,5,5,3,5,3,3,2,2,2,2,2,2,3,4,2,3,2,3,4,3,1,2,2,5,5,5,2,1,3,3,3
1626,2,21,1,2,3,3,3,3,4,5,2,4,4,3,4,5,1,1,3,2,1,2,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,3,2,2,2,4,4,3,1,3,1,4,4,4,3,3,3,3,3
905,2,21,1,2,4,4,4,4,5,5,5,5,5,5,5,3,1,1,3,3,5,1,1,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,3,3,2,4,3,3,2,2,2,2,1,4,3,4,2,3,2
493,2,20,1,1,4,4,4,4,3,5,4,5,4,3,4,5,1,5,2,3,5,1,5,5,5,5,5,5,2,2,2,2,2,2,2,1,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,1,4
1576,2,18,1,2,4,4,5,4,4,5,4,5,5,2,5,5,1,1,3,3,5,2,1,1,5,5,5,5,3,2,2,2,2,2,2,2,1,2,3,3,3,4,4,4,2,2,4,5,3,5,3,4,4,4,4
3050,2,21,2,3,4,4,3,3,4,4,5,3,4,3,4,5,1,1,2,2,1,3,5,5,5,3,5,5,2,2,1,1,1,1,1,1,1,3,2,1,1,3,3,2,2,1,2,4,3,4,3,5,2,1,1
3059,2,20,1,3,4,4,4,4,5,5,3,4,4,4,2,3,5,1,2,3,5,1,5,5,5,3,3,5,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,2,2,2,3,3,3,2,2,3
1338,2,20,1,3,5,5,5,5,5,4,4,5,5,5,5,5,1,1,4,3,5,1,1,1,5,5,5,5,3,3,2,3,3,3,3,2,3,3,2,2,2,4,4,4,3,4,1,3,1,1,3,3,2,1,1
3200,2,22,1,1,3,2,2,2,4,5,3,3,4,3,3,5,1,1,3,3,1,2,5,5,5,3,3,5,2,2,2,2,1,1,1,2,1,2,2,2,2,3,3,2,1,1,1,4,1,1,1,1,1,1,1
2701,1,20,1,2,4,2,3,4,3,4,2,4,5,2,1,3,1,1,2,2,5,1,5,5,1,3,5,5,2,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,2,2,2,3,3,1,2,2,1,1,2
3099,1,24,1,2,4,3,4,4,4,5,5,3,5,4,4,5,5,1,3,3,5,2,5,5,5,3,5,5,2,2,2,2,1,2,1,2,2,2,1,1,2,3,3,4,3,4,5,4,5,4,4,4,3,4,4
63,2,21,1,2,4,4,3,4,5,5,3,4,5,3,3,5,1,1,3,3,5,3,5,5,5,5,3,3,2,2,2,2,1,1,1,4,4,3,2,2,2,3,3,3,2,4,3,5,4,4,3,5,4,4,5
664,2,20,1,3,3,3,3,4,5,4,4,3,4,2,2,3,5,5,2,4,5,2,1,5,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,1,4,5,4,4,4,4,4,4,4,4
696,2,20,1,2,3,4,4,3,3,5,3,3,4,3,3,5,1,5,3,2,5,2,1,5,5,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,3,2,1,1,1,1,1,2
376,2,20,1,4,4,4,4,4,4,3,3,3,3,3,3,5,1,1,3,3,5,3,5,1,5,1,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1
2139,2,25,1,1,4,4,3,4,4,5,5,5,5,2,2,5,1,1,2,2,5,3,1,5,1,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,3,3,3,3,3,3,3,3,3
171,2,26,1,2,4,4,4,4,5,4,4,4,5,4,4,3,1,1,3,3,5,3,1,1,5,3,3,5,2,2,1,1,1,1,1,2,2,2,1,1,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4
377,2,19,1,5,2,4,5,4,4,5,5,5,5,3,2,5,5,5,4,3,5,2,1,1,1,5,3,5,3,2,2,2,2,2,2,4,4,2,2,2,2,4,1,2,1,3,1,1,1,3,2,3,3,3,1
2819,2,24,1,4,4,4,3,4,3,4,4,4,4,3,4,5,1,1,2,2,1,3,5,5,5,3,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,4,2,3,2,2,3,3,2,2,2
492,2,20,1,3,4,4,4,4,4,5,4,4,5,5,5,3,1,1,3,3,5,4,1,1,1,3,5,5,3,3,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,4,4,4,3,3,4,3,3,4
3023,2,18,2,1,4,4,3,3,4,5,3,4,4,4,3,5,1,5,2,2,5,2,5,5,5,3,5,3,2,1,1,2,1,1,1,1,1,1,1,1,1,3,3,5,4,4,5,5,5,4,4,5,5,5,5
1378,2,20,1,4,3,4,4,4,5,5,3,4,5,4,2,5,1,5,3,3,5,3,5,5,1,3,5,3,2,3,1,1,2,2,2,3,3,3,3,3,3,1,4,4,4,4,4,4,4,3,4,4,4,4,3
880,2,21,1,4,3,5,5,4,5,5,5,5,5,3,5,3,5,1,4,3,5,1,1,5,5,3,3,3,3,3,2,2,2,2,2,2,4,3,3,2,2,4,4,3,4,4,4,4,5,2,3,3,3,4,4
2843,1,25,1,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,2,2,1,5,1,5,5,5,5,3,3,2,2,2,2,2,2,1,2,2,2,2,2,3,3,1,1,1,3,4,4,2,4,4,4,1,2
2674,2,19,1,1,4,3,4,4,4,4,4,5,5,4,3,5,1,1,2,2,1,2,5,5,5,3,5,3,2,3,2,3,3,3,3,3,2,2,2,2,2,3,3,3,1,3,5,4,4,3,3,4,3,2,2
3000,1,23,2,3,3,3,3,3,3,4,4,3,5,3,4,3,1,1,3,2,1,3,5,5,5,3,5,5,3,3,2,2,2,2,2,2,2,3,2,3,3,3,1,1,1,1,1,2,1,2,1,1,1,1,1
2191,2,21,2,2,4,4,2,3,3,5,4,5,5,1,4,5,1,1,3,2,1,4,5,1,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,1,3,4,3,4,4,3,3,4
1063,2,22,1,1,4,4,4,4,4,5,4,1,5,3,4,5,1,1,4,3,5,5,5,5,5,3,3,3,2,2,1,2,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,5,4,4,5,5,5,5,5
1232,2,20,1,3,4,4,4,4,4,5,4,3,5,3,4,5,1,5,3,3,5,1,1,1,5,3,3,5,2,2,1,1,1,1,1,3,3,3,2,2,2,3,3,3,2,2,2,3,2,3,3,3,3,3,3
2115,2,20,2,1,2,4,4,4,4,4,3,4,4,3,3,5,1,1,3,3,1,2,5,5,5,1,5,3,3,2,2,2,2,2,2,2,3,3,2,2,2,4,3,3,2,3,3,2,2,3,3,4,3,3,3
872,2,20,1,4,4,4,4,4,4,5,5,4,5,3,5,5,1,1,2,3,5,4,5,5,5,5,5,3,3,2,1,2,2,2,2,2,2,3,2,2,2,5,5,5,3,5,1,1,1,5,4,5,5,4,4
2089,2,19,1,2,3,3,3,4,4,4,4,4,4,3,1,5,1,1,3,3,5,4,1,5,5,3,3,3,2,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,3,4,4,4,3,4,3,5,3,4,4
3205,2,22,1,3,3,4,3,4,4,5,2,4,5,3,1,3,1,1,3,3,5,1,5,5,5,3,3,3,2,2,2,2,2,2,1,3,3,3,2,3,2,3,3,4,1,4,2,2,2,2,2,3,2,2,2
1819,1,20,2,2,2,2,3,2,3,5,2,3,4,3,4,3,1,1,3,3,5,3,5,1,5,3,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,4,2,4,1,4,4,4,3,4,4
2388,1,20,2,3,5,3,4,3,3,5,4,4,4,4,2,3,1,1,3,2,5,1,5,5,1,1,1,3,1,1,1,1,2,2,2,3,2,3,2,3,2,4,2,4,1,2,1,1,2,2,2,2,3,3,2
500,2,19,1,2,4,4,3,4,5,5,2,4,4,2,4,1,1,5,3,3,1,3,5,5,5,5,3,5,3,3,2,2,3,3,3,1,2,2,2,2,2,4,4,3,1,3,0,4,3,4,3,5,3,3,2
15,1,21,1,2,1,5,4,5,5,5,4,4,4,2,1,5,1,1,4,3,5,2,1,1,1,5,5,5,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,3,3,3,3,2,3,2,3,3
1624,2,21,2,5,3,5,3,5,1,4,5,1,4,2,3,5,1,5,4,1,1,5,5,5,5,3,5,3,1,1,1,3,1,1,1,3,3,3,2,2,1,1,0,1,0,1,4,3,5,4,2,4,2,1,1
2867,1,20,1,1,3,4,2,3,4,4,2,2,5,1,4,5,1,1,2,3,1,5,5,5,5,5,3,3,3,1,1,3,1,1,1,2,1,2,3,2,1,4,4,4,3,5,2,5,4,4,4,4,4,4,4
388,2,19,1,3,3,4,3,4,5,4,4,5,4,4,4,5,1,5,2,2,5,1,5,5,5,5,3,5,3,1,1,2,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3
1732,2,24,1,1,3,4,4,4,4,5,3,4,3,4,4,3,1,1,3,3,1,1,5,1,1,3,5,5,3,3,2,2,4,4,4,2,2,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,2,3
